year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20100101,-4.9,-11,0.9,0,"1,338"
20100102,-3.1,-5.5,5.5,0.8,"1,338"
20100103,-2.9,-6.9,1.4,0,"1,338"
20100104,-1.8,-5.1,2.2,5.9,"1,338"
20100105,-5.2,-8.7,-1.8,0.7,"1,338"
20100106,-7.3,-11.4,-2.5,0.3,"1,338"
20100107,-6.7,-11.2,-1.2,0,"1,338"
20100108,-5.6,-11.4,1.4,0,"1,315"
20100109,-3.1,-8.8,1.8,0.1,"1,339"
20100110,-1.3,-5,2.8,0,"1,410"
20100111,-1.5,-5.1,2.1,0,"1,420"
20100112,-5,-8.2,-1.7,0.4,"1,461"
20100113,-8.3,-11.4,-4.6,0.7,"1,449"
20100114,-6.4,-12.7,0,0.1,"1,453"
20100115,-2.6,-7.9,3.9,0.1,"1,457"
20100116,-4.1,-9.9,2.9,0,"1,461"
20100117,-3.1,-9.8,4.9,0,"1,465"
20100118,-0.4,-7.1,7.7,0,"1,469"
20100119,3.6,-4.6,11,0.3,"1,416"
20100120,8,4.9,11.3,10.8,"1,398"
20100121,1.3,-3.6,7.9,3.1,"1,426"
20100122,-3.1,-5.7,0.8,0,"1,419"
20100123,-2.7,-6.6,2,0.1,"1,440"
20100124,0.4,-5.5,5.8,0,"1,524"
20100125,0.8,-4.3,5.4,0,"1,506"
20100126,-2.3,-7.7,4.3,0,"1,578"
20100127,1.3,-5.9,7.4,6.5,"1,579"
20100128,3.5,-0.7,7.4,0.1,"1,612"
20100129,0.2,-4.3,5,0,"1,623"
20100130,1.9,-3.3,7.5,0,"1,597"
20100131,3,-1.3,9.4,0,"1,600"
20100201,2.2,-1,6.8,0.2,"1,668"
20100202,-2,-5.5,1.8,0,"1,695"
20100203,-4.9,-8.6,-0.3,0,"1,719"
20100204,-2.9,-8.4,2.2,0.1,"1,840"
20100205,-1.8,-5.9,3,0,"1,840"
20100206,-2.6,-8.5,4.7,0,"1,695"
20100207,1.2,-8.3,8.6,0.1,"1,719"
20100208,4.9,2.8,7.3,2.7,"1,840"
20100209,5.6,3.6,7.8,6.9,"1,864"
20100210,5.1,4,6.5,9,"1,860"
20100211,2.4,0.7,5.2,17.3,"1,820"
20100212,0.7,-0.6,2.7,3.1,"1,881"
20100213,-0.7,-3.3,2.2,1.9,"1,888"
20100214,-1.2,-4.9,2.5,0,"1,920"
20100215,-0.5,-4.4,5,0.1,"1,914"
20100216,-1.6,-5,3.2,0.6,"1,881"
20100217,-1.2,-6.1,3.6,0.4,"1,888"
20100218,-1.1,-4.8,2.4,0.5,"1,920"
20100219,-0.6,-6.1,5.4,0.1,"1,914"
20100220,2.2,-4.2,9.7,0,"1,881"
20100221,3.7,-3.4,11.6,0,"1,888"
20100222,5.2,-0.8,12.8,0,"1,920"
20100223,6.4,-1.2,16.4,0,"2,050"
20100224,11.2,1.2,18.9,0,"2,085"
20100225,13.4,10.3,16.4,33.4,"2,052"
20100226,9.4,6,13.5,4.1,"2,028"
20100227,6.3,3.8,9.2,1.5,"2,018"
20100228,7.1,3,12.6,0.1,"1,831"
20100301,5.4,3.4,8,15.6,"1,824"
20100302,4.2,1.8,6.9,0.3,"1,721"
20100303,5.2,-0.4,10.5,0,"1,731"
20100304,5.9,4.4,7.2,3.9,"1,831"
20100305,6.9,5,9.4,3.8,"1,824"
20100306,5.5,3.1,8.1,3.3,"1,721"
